i,j,score
41,15,94
15,41,94
41,16,32
16,41,32
41,17,90
17,41,90
41,18,81
18,41,81
41,19,55
19,41,55
41,20,13
20,41,13
41,21,116
21,41,116
41,22,105
22,41,105
41,23,35
23,41,35
41,24,48
24,41,48
41,25,38
25,41,38
41,26,26
26,41,26
41,27,101
27,41,101
41,28,57
28,41,57
41,29,85
29,41,85
41,30,60
30,41,60
41,31,103
31,41,103
41,32,65
32,41,65
41,33,106
33,41,106
41,34,57
34,41,57
41,35,48
35,41,48
41,36,63
36,41,63
41,37,7
37,41,7
41,38,70
38,41,70
41,39,96
39,41,96
41,40,63
40,41,63
41,41,0
42,0,98
0,42,98
42,1,97
1,42,97
42,2,39
2,42,39
42,3,79
3,42,79
42,4,83
4,42,83
42,5,44
5,42,44
42,6,80
6,42,80
42,7,20
7,42,20
42,8,13
8,42,13
42,9,107
9,42,107
42,10,69
10,42,69
42,11,29
11,42,29
42,12,59
12,42,59
42,13,63
13,42,63
42,14,87
14,42,87
42,15,87
15,42,87
42,16,33
16,42,33
42,17,74
17,42,74
42,18,80
18,42,80
42,19,48
19,42,48
42,20,11
20,42,11
42,21,102
21,42,102
42,22,89
22,42,89
42,23,41
23,42,41
42,24,44
24,42,44
42,25,39
25,42,39
42,26,27
26,42,27
42,27,88
27,42,88
42,28,54
28,42,54
42,29,83
29,42,83
42,30,56
30,42,56
42,31,88
31,42,88
42,32,69
32,42,69
42,33,88
33,42,88
42,34,55
34,42,55
42,35,47
35,42,47
42,36,64
36,42,64
42,37,6
37,42,6
42,38,74
38,42,74
42,39,95
39,42,95
42,40,76
40,42,76
42,41,63
41,42,63
42,42,0
43,0,120
0,43,120
43,1,138
1,43,138
43,2,43
2,43,43
43,3,124
3,43,124
43,4,129
4,43,129
43,5,48
5,43,48
43,6,113
6,43,113
43,7,28
7,43,28
43,8,22
8,43,22
43,9,152
9,43,152
43,10,82
10,43,82
43,11,52
11,43,52
43,12,69
12,43,69
43,13,82
13,43,82
43,14,123
14,43,123
43,15,122
15,43,122
43,16,40
16,43,40
43,17,128
17,43,128
43,18,96
18,43,96
43,19,74
19,43,74
43,20,14
20,43,14
43,21,150
21,43,150
43,22,127
22,43,127
43,23,40
23,43,40
43,24,56
24,43,56
43,25,48
25,43,48
43,26,31
26,43,31
43,27,133
27,43,133
43,28,76
28,43,76
43,29,120
29,43,120
43,30,67
30,43,67
43,31,139
31,43,139
43,32,88
32,43,88
43,33,136
33,43,136
43,34,63
34,43,63
43,35,65
35,43,65
43,36,75
36,43,75
43,37,9
37,43,9
43,38,103
38,43,103
43,39,143
39,43,143
43,40,86
40,43,86
43,41,90
41,43,90
43,42,80
42,43,80
43,43,0
44,0,224
0,44,224
44,1,213
1,44,213
44,2,63
2,44,63
44,3,185
3,44,185
44,4,187
4,44,187
44,5,63
5,44,63
44,6,177
6,44,177
44,7,31
7,44,31
44,8,18
8,44,18
44,9,263
9,44,263
44,10,119
10,44,119
44,11,53
11,44,53
44,12,96
12,44,96
44,13,100
13,44,100
44,14,197
14,44,197
44,15,199
15,44,199
44,16,47
16,44,47
44,17,157
17,44,157
44,18,125
18,44,125
44,19,103
19,44,103
44,20,17
20,44,17
44,21,238
21,44,238
44,22,203
22,44,203
44,23,55
23,44,55
44,24,60
24,44,60
44,25,65
25,44,65
44,26,34
26,44,34
44,27,202
27,44,202
44,28,89
28,44,89
44,29,195
29,44,195
44,30,86
30,44,86
44,31,166
31,44,166
44,32,122
32,44,122
44,33,206
33,44,206
44,34,82
34,44,82
44,35,80
35,44,80
44,36,96
36,44,96
44,37,8
37,44,8
44,38,125
38,44,125
44,39,167
39,44,167
44,40,118
40,44,118
44,41,119
41,44,119
44,42,103
42,44,103
44,43,156
43,44,156
44,44,0
45,0,77
0,45,77
45,1,82
1,45,82
45,2,36
2,45,36
45,3,77
3,45,77
45,4,72
4,45,72
45,5,37
5,45,37
45,6,67
6,45,67
45,7,20
7,45,20
45,8,14
8,45,14
45,9,89
9,45,89
45,10,57
10,45,57
45,11,33
11,45,33
45,12,48
12,45,48
45,13,54
13,45,54
45,14,78
14,45,78
45,15,69
15,45,69
