i,j,score
60,29,125
60,30,67
60,31,136
60,32,84
60,33,162
60,34,74
60,35,62
60,36,88
60,37,9
60,38,108
60,39,141
60,40,99
60,41,97
60,42,87
60,43,131
60,44,188
60,45,73
60,46,45
60,47,42
60,48,101
60,49,78
60,50,113
60,51,114
60,52,55
60,53,142
60,54,56
60,55,115
60,56,100
60,57,30
60,58,78
60,59,91
61,0,97
61,1,108
61,2,38
61,3,79
61,4,97
61,5,33
61,6,85
61,7,17
61,8,19
61,9,122
61,10,70
61,11,38
61,12,61
61,13,62
61,14,92
61,15,88
61,16,34
61,17,76
61,18,74
61,19,58
61,20,13
61,21,105
61,22,92
61,23,33
61,24,39
61,25,46
61,26,23
61,27,97
61,28,54
61,29,93
61,30,61
61,31,97
61,32,71
61,33,96
61,34,47
61,35,47
61,36,60
61,37,8
61,38,62
61,39,88
61,40,65
61,41,63
61,42,63
61,43,84
61,44,109
61,45,56
61,46,34
61,47,32
61,48,72
61,49,58
61,50,83
61,51,73
61,52,42
61,53,102
61,54,37
61,55,70
61,56,62
61,57,36
61,58,53
61,59,65
61,60,87
62,0,165
62,1,170
62,2,55
62,3,138
62,4,139
62,5,56
62,6,127
62,7,27
62,8,18
62,9,189
62,10,99
62,11,48
62,12,84
62,13,83
62,14,140
62,15,143
62,16,44
62,17,127
62,18,104
62,19,78
62,20,16
62,21,178
62,22,149
62,23,39
62,24,49
62,25,51
62,26,35
62,27,159
62,28,69
62,29,143
62,30,73
62,31,137
62,32,94
62,33,166
62,34,63
62,35,74
62,36,86
62,37,9
62,38,100
62,39,136
62,40,96
62,41,98
62,42,85
62,43,119
62,44,195
62,45,74
62,46,44
62,47,44
62,48,99
62,49,76
62,50,115
62,51,110
62,52,59
62,53,151
62,54,51
62,55,104
62,56,91
62,57,29
62,58,69
62,59,82
62,60,145
62,61,92
63,0,135
63,1,136
63,2,46
63,3,114
63,4,130
63,5,55
63,6,118
63,7,29
63,8,20
63,9,143
63,10,85
63,11,50
63,12,75
63,13,86
63,14,143
63,15,117
63,16,38
63,17,118
63,18,103
63,19,69
63,20,15
63,21,143
63,22,139
63,23,52
63,24,73
63,25,59
63,26,33
63,27,132
63,28,78
63,29,113
63,30,72
63,31,137
63,32,86
63,33,134
63,34,70
63,35,62
63,36,78
63,37,9
63,38,109
63,39,145
63,40,104
63,41,88
63,42,83
63,43,117
63,44,168
63,45,65
63,46,40
63,47,38
63,48,93
63,49,72
63,50,123
63,51,103
63,52,52
63,53,116
63,54,62
63,55,85
63,56,81
63,57,32
63,58,83
63,59,79
63,60,131
63,61,75
63,62,140
64,0,75
64,1,79
64,2,33
64,3,71
64,4,69
64,5,32
64,6,69
64,7,18
64,8,17
64,9,80
64,10,58
64,11,32
64,12,50
64,13,57
64,14,72
64,15,67
64,16,27
64,17,63
64,18,68
64,19,47
64,20,8
64,21,83
64,22,73
64,23,26
64,24,35
64,25,36
64,26,22
64,27,76
64,28,43
64,29,67
64,30,50
64,31,71
64,32,61
64,33,74
64,34,42
64,35,38
64,36,48
64,37,5
64,38,59
64,39,67
64,40,59
64,41,57
64,42,57
64,43,69
64,44,88
64,45,48
64,46,29
64,47,28
64,48,54
64,49,45
64,50,72
64,51,63
64,52,33
64,53,78
64,54,38
64,55,57
64,56,52
64,57,25
64,58,48
64,59,50
64,60,72
64,61,55
64,62,75
64,63,72
65,0,72
65,1,72
65,2,32
65,3,61
65,4,69
65,5,28
65,6,59
65,7,14
65,8,12
65,9,75
65,10,52
65,11,24
65,12,49
65,13,46
65,14,62
65,15,63
65,16,29
65,17,51
65,18,49
65,19,41
65,20,9
65,21,76
65,22,74
65,23,23
65,24,29
65,25,32
65,26,18
65,27,70
65,28,41
65,29,62
65,30,36
65,31,57
65,32,53
65,33,71
65,34,29
65,35,38
65,36,44
65,37,9
65,38,46
65,39,56
65,40,45
65,41,49
65,42,42
65,43,51
65,44,73
65,45,38
65,46,27
65,47,30
65,48,51
65,49,45
65,50,49
65,51,62
65,52,29
65,53,70
